"id","category_slug","old_alt","new_title","new_alt","status"
"74","family","DSC02502 db12e336 2500.jpg","Coastal Bluff Family Portrait at Golden Hour | Bay Area","Bay Area family portrait of dad holding daughter in floral top while mom in white dress laughs beside them on a coastal","updated"
"75","family","DSC02640 29a561c5 2500.jpg","Big Sister Reveal at the Coast | Bay Area Family Portrait","Bay Area family portrait of a young girl in a green floral dress holding a letter board announcing a baby brother coming","updated"
"76","family","DSC02748 2e5fefa0 2500.jpg","Father and Daughter Barefoot Beach Walk | Bay Area Family Portrait","Bay Area family portrait of a dad in olive shirt holding his young daughter's hand as they walk barefoot on sunlit sand.","updated"
"77","family","DSC02939 0b8cb2f1 2500.jpg","Bay Area Beach Baby Brother Announcement with Letter Board","Bay Area family portrait on sandy beach with letter board announcing baby brother April 2026 as parents and toddler walk","updated"
"78","family","DSC03058 6afb475f 2500.jpg","Bay Area Family Portrait on Coastal Bluff with Two Young Sons","Bay Area family portrait of parents crouching on a grassy coastal bluff with two young sons in plaid shirts, ocean behind","updated"
"79","family","DSC03251 d8108e02 2500.jpg","Dad Hugging Two Sons on Sunny Bay Area Beach Portrait","Bay Area family portrait of a dad in a brown sweater laughing while hugging his two young sons in plaid shirts on sunlit","updated"
"80","family","DSC03300 07908f42 2500.jpg","Family of Four Walking Hand in Hand on Sunny Bay Area Beach","Bay Area family portrait of parents and two young boys in plaid shirts and earth tones holding hands while walking on sandy","updated"
"66","graduation","DSC09949 2 cda6f5b9 2500.jpg","UC Berkeley Grad Champagne Spray Portrait | Bay Area Photographer","Bay Area graduation portrait of a UC Berkeley grad in a white dress and navy stole spraying champagne on the lawn at golden","updated"
"81","family","DSC03500 f5270db1 2500.jpg","Coastal Bay Area Family Portrait with Toddler on Bluff","Bay Area family portrait of parents in cream sweaters holding their toddler daughter on a coastal bluff above the ocean.","updated"
"82","family","DSC03555 55c5e2ae 2500.jpg","Bay Area Coastal Family Portrait on Bluff Above the Pacific","Bay Area family portrait of parents in cream sweaters kneeling on a grassy bluff, dad holding toddler daughter, ocean behind.","updated"
"83","family","DSC03721 f400a4be 2500.jpg","Toddler Runs to Parents on Sunny Bay Area Beach Portrait","Bay Area family portrait of a toddler in brown overalls running toward her crouching parents in cream sweaters on sandy beach","updated"
"85","family","DSC03914 5a9efb57 2500.jpg","Bay Area Family Portrait of Couple Holding Hands Among Redwoods","Bay Area family portrait of a couple holding hands on a park path, man in pink shirt and woman in navy floral dress smiling","updated"
"84","family","DSC03898 2bd9219a 2500.jpg","Beach Pregnancy Announcement with Ultrasound Photo | Bay Area Family","Bay Area family portrait on the beach as parents in cream sweaters touch foreheads, holding a framed ultrasound and their","updated"
"86","family","DSC04716 78abe579 2500.jpg","Bay Area Family Beach Portrait on Striped Blanket by the Waves","Bay Area family portrait of parents and two kids in cream sweaters sitting barefoot on a striped blanket with ocean waves","updated"
"88","family","DSC05587 7997652e 2500.jpg","Bay Area Fall Family Portrait - Couple Forehead Kiss in Park","Bay Area family portrait of a husband in olive tee kissing his blonde wife's forehead in a sunlit autumn park.","updated"
"87","family","DSC04913 064d39d7 2500.jpg","Mom and Four Kids on Log in Eucalyptus Grove | Bay Area Family","Bay Area family portrait of a blonde mother in a black dress with her four children seated on a log in a eucalyptus grove.","updated"
"91","family","DSC06276 5c6ab076 2500.jpg","Crissy Field Family Portrait at Golden Gate Bridge","Bay Area family portrait of parents in red plaid holding their baby while walking on Crissy Field sand with the Golden Gate","updated"
"89","family","DSC05612 8b20e7dd 2500.jpg","Autumn Couple Portrait Under Golden Trees | Bay Area Family Photos","Bay Area family portrait of a couple embracing in a park, man in olive tee hugging blonde woman in taupe sweater dress among","updated"
"90","family","DSC06016 aedd3285 2500.jpg","Mom and Baby in Matching Plaid at Crissy Field | Bay Area Portraits","Bay Area family portrait of a laughing mom holding her baby daughter, both in red tartan plaid dresses, with the Golden Gate","updated"
"93","family","DSC06413 47ccbcaa 2500.jpg","Crissy Field Family Portrait with Golden Gate Bridge View","Bay Area family portrait of parents in red plaid holding hands on Crissy Field sand, toddler cheering on dad's shoulders,","updated"
"94","family","DSC06690 156e0901 2500.jpg","Bay Area Fall Family Portrait of Couple Embracing Under Trees","Bay Area family portrait of a couple hugging among autumn leaves, man in blue plaid shirt, woman in black top and floral","updated"
"92","family","DSC06288 e7d98bf2 2500.jpg","Family of Three with Dog on Park Bench in Bay Area Autumn","Bay Area family portrait of mom in blue dress, dad in green sweater, red-haired daughter and small dog on a park bench among","updated"
"95","family","DSC06763 b939873a 2500.jpg","Bay Area Fall Family Portrait with Couple and Dog in Park","Bay Area family portrait of a couple holding hands walking their tan dog on a leash through autumn leaves under sycamore","updated"
"97","family","DSC06844 ee8eaae4 2500.jpg","Lovers' Lane Family Portrait with Toddler and French Bulldog","Bay Area family portrait of parents kneeling with their French bulldog as their toddler son in a cable-knit sweater walks","updated"
"96","family","DSC06844 18fcc12a 2500.jpg","Bay Area Family Portrait on Lovers' Lane with Toddler and French Bulldog","Bay Area family portrait of parents kneeling with a French bulldog as their toddler son in a knit sweater walks ahead on a","updated"
"100","family","DSC08964 4ae27333 2500.jpg","Bay Area Fall Family Portrait Under Golden Maple Tree","Bay Area family portrait of parents and two young children holding hands under a maple tree on a leaf-covered lawn in autumn.","updated"
"99","family","DSC07047 04993974 2500.jpg","Mother Kissing Toddler Daughter in Bay Area Eucalyptus Grove","Bay Area family portrait of a mom in a cream dress kissing her toddler daughter in pink boots among tall eucalyptus trees.","updated"
"98","family","DSC06881 b57b3e59 2500.jpg","Family of Four on Log in Presidio Eucalyptus Grove","Bay Area family portrait of parents seated on a fallen log cuddling their toddler daughter and baby in a sunlit eucalyptus","updated"
"113","couples","DSC01766","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 18114196 bytes > 10485760 bytes""},""request_id"":""req_011Cc25ddYNeWJwdtQTnk329""}"
"114","couples","DSC01796","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 19867432 bytes > 10485760 bytes""},""request_id"":""req_011Cc25dfaAHfhUABVseumtT""}"
"115","couples","DSC01816","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 20462408 bytes > 10485760 bytes""},""request_id"":""req_011Cc25di8hghBsSYbNHCStV""}"
"116","couples","DSC01836","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 19208904 bytes > 10485760 bytes""},""request_id"":""req_011Cc25dzdPfUKi7gc4ouLkb""}"
"117","couples","DSC01890","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 19277472 bytes > 10485760 bytes""},""request_id"":""req_011Cc25e1unQhw6ExH8QxqRu""}"
"118","couples","DSC01914","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 18737444 bytes > 10485760 bytes""},""request_id"":""req_011Cc25e6WMdGcaXKqK3sAPa""}"
"120","family","DSC03040","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 16835568 bytes > 10485760 bytes""},""request_id"":""req_011Cc25eLBP36rukMy5y3ThZ""}"
"119","couples","DSC01922","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 18959512 bytes > 10485760 bytes""},""request_id"":""req_011Cc25eKSyJAFX3zU4WxSj2""}"
"121","family","DSC03109","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 18163420 bytes > 10485760 bytes""},""request_id"":""req_011Cc25eQwsMY5JvqC7rPvtC""}"
"123","family","DSC03574","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17247312 bytes > 10485760 bytes""},""request_id"":""req_011Cc25efDrmmQ9nUmrkghgo""}"
"124","couples","DSC05596","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 20933988 bytes > 10485760 bytes""},""request_id"":""req_011Cc25ednnU5tGVYkthR69V""}"
"122","family","DSC03210","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 19931340 bytes > 10485760 bytes""},""request_id"":""req_011Cc25eaBVZDdtyfsgEfMDY""}"
"125","couples","DSC05690","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17508520 bytes > 10485760 bytes""},""request_id"":""req_011Cc25eph7yVCduigwvD5ZD""}"
"126","couples","DSC05699","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 15179656 bytes > 10485760 bytes""},""request_id"":""req_011Cc25etkwenscDuHGn8i3b""}"
"127","couples","DSC05719","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 20856708 bytes > 10485760 bytes""},""request_id"":""req_011Cc25esRpuH3RJ1fKTeXzG""}"
"130","couples","DSC05790","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 16973708 bytes > 10485760 bytes""},""request_id"":""req_011Cc25f6FFtsXFsEVW8NAap""}"
"129","couples","DSC05767","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 21916428 bytes > 10485760 bytes""},""request_id"":""req_011Cc25f52aZnq58NgzZ7Vkq""}"
"128","couples","DSC05727","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 20500636 bytes > 10485760 bytes""},""request_id"":""req_011Cc25f3GQyowe7W2rPaU57""}"
"131","family","DSC03765","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 20372320 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fJEKvTjNN4F1NaKTd""}"
"132","family","DSC03771","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 22336516 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fKSW86FP4j1GLB4SU""}"
"133","family","DSC03795","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 23625504 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fPudtBjEEHoexFhYZ""}"
"134","family","DSC03814","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 22579656 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fZxdRmAcdKfquxSgs""}"
"135","family","DSC03816","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 21707300 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fbxvoMRipTkZfg1cT""}"
"137","family","DSC03967","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 28952908 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fntWHn8vNLU2Tu2HP""}"
"136","family","DSC03884","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 29911108 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fqGdVBbufFP6U5zqk""}"
"138","couples","DSC03993","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17285040 bytes > 10485760 bytes""},""request_id"":""req_011Cc25fu1rD5dAoV2Q4QLCs""}"
"140","couples","DSC04015","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 18561256 bytes > 10485760 bytes""},""request_id"":""req_011Cc25g7VhAL1LHvHbB7z4U""}"
"139","couples","DSC03999","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17692168 bytes > 10485760 bytes""},""request_id"":""req_011Cc25g5NCf6XsgRkx7FLzC""}"
"141","couples","DSC04023","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 19825988 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gBTp1Aq3zzc2hKPAs""}"
"143","couples","DSC04046","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17099800 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gJsJcQ7BXyeh5MVzp""}"
"142","couples","DSC04031","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 21490624 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gKv4CByVurpaVDjKi""}"
"146","couples","DSC04074","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 16812512 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gXRMgfRmNmFMgGbfL""}"
"144","couples","DSC04053","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17354220 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gV4E3Vk22ciTVcpqq""}"
"147","couples","DSC04094","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17246832 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gfs78sccfjkGggRmv""}"
"145","couples","DSC04067","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 18283868 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gYmiRLo3r6dDG6ThF""}"
"148","couples","DSC04110","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 17620176 bytes > 10485760 bytes""},""request_id"":""req_011Cc25giwtuBR9HW3bY6XAE""}"
"150","couples","DSC04158","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 26871916 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gsysa1VSxwNoPufWq""}"
"151","couples","DSC04218","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 19516028 bytes > 10485760 bytes""},""request_id"":""req_011Cc25gyqbQhqrLvUvrEmPn""}"
"149","couples","DSC04151","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 22666968 bytes > 10485760 bytes""},""request_id"":""req_011Cc25grGvxvhbNrNsHm4vc""}"
"152","couples","DSC04248","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 22161176 bytes > 10485760 bytes""},""request_id"":""req_011Cc25hBCxeJ8hgFP5kgL6M""}"
"153","couples","DSC04298","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 23978440 bytes > 10485760 bytes""},""request_id"":""req_011Cc25hBqR6ZmniowV2fC7V""}"
"155","couples","DSC04335","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 22743244 bytes > 10485760 bytes""},""request_id"":""req_011Cc25hPhYh2dreWomN8CCy""}"
"156","family","DSC06241","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 31767156 bytes > 10485760 bytes""},""request_id"":""req_011Cc25haTh8uZS91NoZtYGD""}"
"154","couples","DSC04315","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 26244116 bytes > 10485760 bytes""},""request_id"":""req_011Cc25hFBpkUzTCzrYgPyTm""}"
"158","family","DSC06365","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 32660360 bytes > 10485760 bytes""},""request_id"":""req_011Cc25ho5U1WeevjJwWVsQ7""}"
"157","family","DSC06295","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 28175540 bytes > 10485760 bytes""},""request_id"":""req_011Cc25hh54bpLZ9Q4Utj3mJ""}"
"160","family","DSC06412","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 30648484 bytes > 10485760 bytes""},""request_id"":""req_011Cc25i327VKS2PtU72DcKE""}"
"159","family","DSC06404","","","error:400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""messages.0.content.0.image.source.base64: image exceeds 10 MB maximum: 32645024 bytes > 10485760 bytes""},""request_id"":""req_011Cc25hrniAJpXCaX6j134Q""}"
